Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Connolly,22.0,2000.0,IRL,FW,Hull City,Championship,5.0,4.0,338.0,2.0,10.0,4.0,17.3,0.0,0.0,0.0,25.0,36.0,310.0,111.0,16.0,20.0,6.0,10.0,1.0,2.0,0.0,3.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,4.0,11.0,3.0,3.0,0.0,0.0,0.0,11.0,2.0,10.0,85.0,3.0,9.0,31.0,45.0,13.0,85.0,6.0,0.0,2.0,58.0,439.0,155.0,7.0,6.0,2.0,12.0,7.0,59.0,14.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,4.0,0.0,4.0,2.0,1.0,0.0
Aaron Drewe,21.0,2001.0,ENG,DF,QPR,Championship,7.0,5.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,225.0,2128.0,1244.0,42.0,54.0,56.0,113.0,13.0,40.0,0.0,2.0,14.0,6.0,4.0,19.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,23.0,3.0,9.0,288.0,22.0,76.0,123.0,91.0,3.0,288.0,3.0,1.0,1.0,82.0,440.0,143.0,7.0,3.0,0.0,6.0,2.0,82.0,20.0,8.0,4.0,6.0,2.0,0.0,5.0,10.0,5.0,12.0,5.0,7.0,8.0,17.0,0.0
Aaron Ramsey,19.0,2003.0,ENG,MF,Norwich City,Championship,29.0,21.0,1702.0,8.0,36.0,17.0,33.2,0.0,0.0,0.0,602.0,754.0,9352.0,2155.0,337.0,393.0,200.0,233.0,44.0,61.0,4.0,28.0,55.0,31.0,0.0,94.0,1.0,0.0,0.0,11.0,24.0,3.0,7.0,0.0,0.0,0.0,103.0,9.0,14.0,949.0,12.0,104.0,416.0,445.0,73.0,949.0,55.0,28.0,23.0,602.0,3815.0,1775.0,49.0,37.0,19.0,38.0,31.0,717.0,125.0,26.0,16.0,9.0,14.0,3.0,8.0,18.0,10.0,20.0,1.0,19.0,9.0,10.0,0.0
Aaron Rowe,21.0,2000.0,ENG,DF,Huddersfield,Championship,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,122.0,75.0,5.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,21.0,1.0,7.0,12.0,2.0,0.0,21.0,1.0,0.0,0.0,8.0,70.0,45.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,4.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoullah Ba,19.0,2003.0,FRA,MF,Sunderland,Championship,27.0,8.0,798.0,1.0,9.0,3.0,22.5,0.0,0.0,0.0,254.0,325.0,3854.0,993.0,134.0,152.0,88.0,111.0,16.0,26.0,1.0,12.0,24.0,8.0,3.0,39.0,1.0,0.0,0.0,15.0,12.0,1.0,8.0,0.0,0.0,0.0,40.0,9.0,5.0,433.0,11.0,57.0,240.0,141.0,9.0,433.0,35.0,13.0,17.0,272.0,1869.0,872.0,25.0,14.0,2.0,20.0,14.0,313.0,44.0,12.0,3.0,4.0,3.0,5.0,6.0,15.0,9.0,13.0,1.0,12.0,3.0,11.0,1.0
Abdulrahman Sharif,21.0,2001.0,ENG,MF,Wigan Athletic,Championship,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,124.0,23.0,5.0,5.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,0.0,0.0,6.0,8.0,0.0,13.0,0.0,0.0,0.0,12.0,64.0,39.0,1.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abu Kamara,19.0,2003.0,ENG,FW,Norwich City,Championship,3.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,154.0,29.0,4.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,19.0,0.0,8.0,6.0,5.0,1.0,19.0,4.0,2.0,2.0,9.0,50.0,6.0,0.0,0.0,1.0,0.0,1.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
Adam Idah,21.0,2001.0,IRL,FW,Norwich City,Championship,25.0,11.0,1163.0,2.0,31.0,4.0,16.4,1.0,0.0,0.0,217.0,311.0,2961.0,521.0,122.0,163.0,74.0,96.0,5.0,15.0,1.0,10.0,14.0,10.0,3.0,23.0,3.0,0.0,0.0,15.0,8.0,10.0,14.0,0.0,0.0,0.0,49.0,18.0,34.0,483.0,12.0,62.0,203.0,228.0,47.0,483.0,39.0,20.0,18.0,268.0,1800.0,582.0,22.0,15.0,9.0,41.0,30.0,342.0,85.0,10.0,6.0,2.0,6.0,2.0,3.0,11.0,8.0,11.0,3.0,8.0,3.0,13.0,0.0
Adam Reach,29.0,1993.0,ENG,FW,West Brom,Championship,18.0,3.0,446.0,0.0,12.0,1.0,17.1,0.0,0.0,0.0,197.0,263.0,2779.0,783.0,124.0,143.0,58.0,72.0,8.0,29.0,0.0,4.0,4.0,6.0,2.0,16.0,0.0,0.0,0.0,2.0,7.0,3.0,23.0,0.0,0.0,0.0,40.0,9.0,3.0,311.0,8.0,50.0,139.0,126.0,13.0,311.0,10.0,3.0,4.0,163.0,901.0,471.0,14.0,8.0,1.0,7.0,4.0,206.0,36.0,4.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,2.0,0.0,2.0,4.0,5.0,0.0
Adam Wharton,18.0,2004.0,ENG,MF,Blackburn,Championship,18.0,12.0,1055.0,2.0,9.0,4.0,21.4,0.0,0.0,0.0,524.0,658.0,9255.0,2933.0,236.0,265.0,222.0,263.0,54.0,93.0,1.0,13.0,52.0,12.0,1.0,75.0,1.0,0.0,0.0,10.0,16.0,0.0,32.0,0.0,0.0,0.0,84.0,10.0,14.0,796.0,28.0,191.0,435.0,181.0,13.0,796.0,25.0,8.0,11.0,420.0,1794.0,893.0,13.0,15.0,1.0,29.0,8.0,536.0,31.0,31.0,21.0,19.0,10.0,2.0,17.0,35.0,18.0,19.0,4.0,15.0,15.0,15.0,1.0
