Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Bastiaans,18.0,2002.0,NED,FW,VVV-Venlo,Eredivisie,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,27.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,3.0,5.0,3.0,0.0,10.0,1.0,1.0,0.0,5.0,31.0,10.0,0.0,1.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
Aaron Meijers,32.0,1987.0,NED,DF,Sparta R'dam,Eredivisie,24.0,12.0,1128.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,421.0,623.0,7212.0,3617.0,211.0,253.0,156.0,221.0,45.0,115.0,5.0,14.0,35.0,10.0,3.0,41.0,2.0,0.0,0.0,13.0,13.0,0.0,49.0,1.0,0.0,0.0,75.0,24.0,10.0,778.0,48.0,261.0,296.0,224.0,6.0,778.0,12.0,5.0,7.0,276.0,1550.0,804.0,23.0,15.0,3.0,13.0,8.0,338.0,48.0,40.0,27.0,25.0,14.0,1.0,21.0,36.0,15.0,16.0,6.0,10.0,12.0,36.0,0.0
Abdenasser El Khayati,31.0,1989.0,NED,MF,ADO Den Haag,Eredivisie,11.0,11.0,864.0,2.0,17.0,8.0,25.7,0.0,1.0,2.0,294.0,377.0,4643.0,1188.0,150.0,175.0,111.0,137.0,23.0,41.0,1.0,5.0,30.0,8.0,1.0,49.0,1.0,0.0,0.0,2.0,8.0,1.0,27.0,0.0,0.0,0.0,45.0,2.0,5.0,471.0,3.0,55.0,242.0,183.0,28.0,469.0,32.0,17.0,15.0,315.0,1737.0,772.0,25.0,21.0,3.0,24.0,12.0,353.0,45.0,8.0,2.0,4.0,4.0,0.0,4.0,12.0,8.0,5.0,0.0,5.0,0.0,2.0,1.0
Abdou Harroui,22.0,1998.0,NED,MF,Sparta R'dam,Eredivisie,32.0,32.0,2769.0,6.0,75.0,32.0,20.9,3.0,0.0,0.0,1153.0,1428.0,22380.0,6073.0,440.0,515.0,530.0,589.0,162.0,248.0,2.0,39.0,123.0,22.0,7.0,184.0,1.0,0.0,0.0,35.0,58.0,1.0,45.0,1.0,0.0,0.0,263.0,32.0,28.0,1969.0,50.0,321.0,1132.0,562.0,74.0,1969.0,122.0,65.0,57.0,1158.0,7393.0,3339.0,100.0,74.0,26.0,103.0,79.0,1236.0,119.0,99.0,57.0,37.0,52.0,10.0,28.0,76.0,48.0,40.0,5.0,35.0,31.0,22.0,1.0
Achraf El Bouchataoui,20.0,2000.0,NED,MF,Feyenoord,Eredivisie,3.0,1.0,104.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,137.0,151.0,2413.0,661.0,55.0,57.0,59.0,61.0,16.0,24.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,154.0,3.0,15.0,130.0,9.0,1.0,154.0,1.0,1.0,0.0,103.0,529.0,268.0,0.0,0.0,0.0,1.0,1.0,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
Adam Maher,27.0,1993.0,NED,MF,Utrecht,Eredivisie,25.0,25.0,2175.0,2.0,32.0,11.0,29.9,4.0,1.0,2.0,1306.0,1779.0,25963.0,9421.0,495.0,575.0,576.0,683.0,209.0,427.0,4.0,62.0,184.0,28.0,3.0,221.0,5.0,0.0,0.0,44.0,58.0,0.0,193.0,0.0,0.0,0.0,242.0,45.0,33.0,2128.0,69.0,411.0,1287.0,474.0,10.0,2126.0,55.0,33.0,22.0,1133.0,6236.0,2947.0,42.0,39.0,3.0,41.0,36.0,1212.0,41.0,69.0,44.0,30.0,35.0,4.0,22.0,48.0,26.0,39.0,10.0,29.0,46.0,37.0,1.0
Adil Auassar,33.0,1986.0,NED,MF,Sparta R'dam,Eredivisie,30.0,29.0,2408.0,0.0,27.0,3.0,26.3,0.0,0.0,0.0,691.0,1058.0,14042.0,5172.0,236.0,323.0,332.0,442.0,110.0,248.0,1.0,19.0,108.0,22.0,1.0,115.0,5.0,1.0,0.0,49.0,31.0,2.0,12.0,0.0,1.0,0.0,186.0,63.0,31.0,1396.0,82.0,385.0,869.0,158.0,10.0,1396.0,22.0,13.0,9.0,607.0,2848.0,1155.0,9.0,16.0,0.0,29.0,9.0,668.0,11.0,68.0,39.0,26.0,36.0,6.0,23.0,50.0,27.0,46.0,12.0,34.0,48.0,51.0,2.0
Adrian Fein,21.0,1999.0,GER,MF,PSV Eindhoven,Eredivisie,13.0,4.0,412.0,1.0,6.0,5.0,16.5,0.0,0.0,0.0,300.0,358.0,4588.0,1161.0,164.0,186.0,102.0,113.0,21.0,31.0,1.0,3.0,30.0,7.0,0.0,26.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0,0.0,31.0,4.0,4.0,398.0,2.0,44.0,219.0,136.0,12.0,398.0,5.0,3.0,2.0,273.0,1473.0,795.0,15.0,18.0,2.0,4.0,4.0,309.0,20.0,3.0,2.0,0.0,3.0,0.0,3.0,10.0,7.0,8.0,0.0,8.0,6.0,1.0,0.0
Adrian Szöke,22.0,1998.0,HUN,FW,Heracles Almelo,Eredivisie,19.0,7.0,639.0,1.0,14.0,5.0,15.6,1.0,0.0,0.0,92.0,131.0,1234.0,168.0,47.0,61.0,32.0,47.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,10.0,1.0,1.0,0.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,8.0,12.0,26.0,196.0,2.0,14.0,98.0,86.0,28.0,196.0,10.0,3.0,6.0,108.0,607.0,161.0,6.0,5.0,2.0,25.0,10.0,151.0,27.0,4.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,2.0,0.0
Adrián Dalmau,26.0,1994.0,ESP,FW,Utrecht,Eredivisie,19.0,5.0,663.0,4.0,29.0,10.0,11.8,0.0,0.0,0.0,63.0,102.0,981.0,154.0,37.0,56.0,24.0,33.0,2.0,2.0,0.0,4.0,5.0,0.0,0.0,8.0,2.0,1.0,1.0,14.0,9.0,4.0,0.0,0.0,0.0,0.0,12.0,16.0,26.0,200.0,6.0,9.0,78.0,114.0,45.0,200.0,11.0,1.0,10.0,101.0,523.0,160.0,5.0,3.0,4.0,26.0,13.0,143.0,38.0,3.0,3.0,0.0,2.0,1.0,0.0,6.0,6.0,9.0,0.0,9.0,0.0,5.0,0.0
