Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Abbas Ibrahim,24.0,1998.0,NGA,MF,Paços,Primeira Liga,7.0,3.0,328.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,162.0,181.0,2681.0,638.0,82.0,84.0,65.0,74.0,11.0,16.0,0.0,1.0,19.0,0.0,0.0,20.0,3.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,29.0,3.0,3.0,220.0,5.0,47.0,149.0,29.0,0.0,220.0,4.0,4.0,0.0,122.0,661.0,288.0,7.0,4.0,0.0,6.0,2.0,148.0,6.0,6.0,4.0,3.0,3.0,0.0,4.0,7.0,3.0,7.0,2.0,5.0,4.0,3.0,2.0
Abdul Fatawu Issahaku,18.0,2004.0,GHA,DF,Sporting CP,Primeira Liga,6.0,1.0,118.0,0.0,4.0,1.0,21.6,0.0,0.0,0.0,43.0,70.0,621.0,215.0,27.0,34.0,14.0,19.0,1.0,10.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,3.0,6.0,0.0,10.0,1.0,0.0,0.0,6.0,2.0,4.0,99.0,3.0,13.0,19.0,68.0,5.0,99.0,15.0,6.0,7.0,61.0,376.0,174.0,8.0,3.0,4.0,4.0,1.0,60.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0
Abdul-Aziz Yakubu,23.0,1998.0,GHA,FW,Rio Ave,Primeira Liga,17.0,16.0,1281.0,7.0,20.0,12.0,16.8,0.0,2.0,2.0,157.0,238.0,1980.0,269.0,102.0,125.0,44.0,72.0,4.0,12.0,3.0,8.0,7.0,4.0,1.0,12.0,2.0,0.0,0.0,20.0,19.0,13.0,18.0,1.0,0.0,0.0,24.0,15.0,39.0,364.0,14.0,30.0,130.0,209.0,46.0,362.0,21.0,7.0,11.0,190.0,1086.0,408.0,20.0,15.0,9.0,33.0,15.0,256.0,88.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,6.0,1.0,5.0,4.0,17.0,0.0
Abel Ruiz,22.0,2000.0,ESP,FW,Braga,Primeira Liga,34.0,26.0,2074.0,8.0,50.0,20.0,13.6,0.0,0.0,0.0,392.0,513.0,4876.0,648.0,258.0,301.0,77.0,106.0,18.0,27.0,6.0,31.0,6.0,15.0,4.0,28.0,4.0,0.0,0.0,19.0,9.0,10.0,19.0,0.0,0.0,0.0,53.0,17.0,41.0,707.0,13.0,39.0,194.0,479.0,156.0,707.0,28.0,13.0,14.0,414.0,2337.0,1080.0,51.0,24.0,30.0,53.0,25.0,535.0,180.0,13.0,7.0,4.0,7.0,2.0,5.0,19.0,14.0,18.0,2.0,16.0,7.0,9.0,0.0
Abraham Marcus,22.0,2000.0,NGA,FW,Porto,Primeira Liga,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,27.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,33.0,15.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aderlan Santos,33.0,1989.0,BRA,DF,Rio Ave,Primeira Liga,32.0,32.0,2821.0,1.0,21.0,6.0,19.5,1.0,0.0,0.0,1568.0,1798.0,31039.0,12403.0,451.0,495.0,940.0,985.0,159.0,276.0,0.0,4.0,50.0,1.0,0.0,57.0,3.0,1.0,0.0,34.0,13.0,1.0,1.0,0.0,0.0,1.0,156.0,94.0,64.0,2177.0,268.0,1174.0,970.0,39.0,25.0,2177.0,7.0,4.0,1.0,1114.0,4525.0,2221.0,3.0,3.0,0.0,9.0,2.0,1440.0,0.0,55.0,35.0,35.0,20.0,0.0,22.0,34.0,12.0,41.0,27.0,14.0,53.0,167.0,1.0
Adewele Sapara,27.0,1995.0,NGA,FW,Portimonense,Primeira Liga,5.0,1.0,117.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,39.0,656.0,164.0,14.0,15.0,10.0,12.0,7.0,9.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,11.0,1.0,6.0,56.0,3.0,17.0,25.0,14.0,2.0,56.0,2.0,0.0,2.0,33.0,141.0,51.0,1.0,2.0,0.0,3.0,2.0,26.0,4.0,5.0,4.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
Adriano,22.0,1999.0,BRA,MF,Santa Clara,Primeira Liga,31.0,27.0,2205.0,1.0,9.0,2.0,22.5,0.0,0.0,0.0,798.0,986.0,15449.0,5668.0,304.0,348.0,365.0,411.0,108.0,178.0,1.0,14.0,85.0,7.0,1.0,83.0,8.0,0.0,0.0,30.0,22.0,2.0,4.0,0.0,1.0,0.0,201.0,10.0,21.0,1230.0,119.0,458.0,693.0,103.0,13.0,1230.0,33.0,21.0,10.0,631.0,3262.0,1608.0,16.0,19.0,1.0,15.0,18.0,698.0,17.0,50.0,31.0,19.0,30.0,1.0,31.0,50.0,19.0,34.0,13.0,21.0,26.0,52.0,0.0
Adrián Butzke,23.0,1999.0,ESP,FW,Paços,Primeira Liga,26.0,13.0,1335.0,6.0,54.0,16.0,13.1,0.0,1.0,1.0,254.0,344.0,3474.0,576.0,157.0,195.0,70.0,98.0,11.0,18.0,1.0,21.0,23.0,10.0,1.0,28.0,3.0,1.0,1.0,19.0,18.0,4.0,4.0,1.0,0.0,0.0,33.0,67.0,61.0,505.0,15.0,33.0,251.0,229.0,83.0,504.0,20.0,8.0,9.0,286.0,1165.0,499.0,13.0,13.0,6.0,30.0,18.0,381.0,61.0,9.0,6.0,2.0,2.0,5.0,1.0,7.0,6.0,7.0,2.0,5.0,3.0,14.0,0.0
Adrián Marín,25.0,1997.0,ESP,DF,Gil Vicente FC,Primeira Liga,31.0,29.0,2570.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1190.0,1624.0,21028.0,9997.0,544.0,622.0,522.0,670.0,107.0,250.0,0.0,26.0,123.0,38.0,10.0,177.0,4.0,1.0,0.0,35.0,11.0,1.0,77.0,0.0,0.0,0.0,164.0,42.0,34.0,1921.0,110.0,528.0,932.0,468.0,24.0,1921.0,46.0,21.0,20.0,952.0,4387.0,2638.0,60.0,34.0,4.0,17.0,10.0,1065.0,122.0,63.0,38.0,37.0,20.0,6.0,35.0,54.0,19.0,30.0,5.0,25.0,31.0,78.0,0.0
