Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Abdou Diallo,22.0,1996.0,SEN,DF,Dortmund,7.0,7.0,619.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,9349.0,3147.0,203.0,217.0,235.0,256.0,61.0,92.0,3.0,29.0,4.0,1.0,0.0,4.0,2.0,0.0,8.0,0.0,0.0,0.0,76.0,8.0,2.0,634.0,40.0,199.0,366.0,113.0,7.0,594.0,6.0,9.0,7.0,1.0,474.0,2332.0,1316.0,51.0,8.0,1.0,4.0,4.0,481.0,468.0,8.0,6.0,5.0,5.0,1.0,2.0,2.0,69.0,25.0,36.0,28.0,5.0,9.0,4.0,0.0,5.0,3.0,23.0,1.0
Achraf Hakimi,19.0,1998.0,MAR,DF,Dortmund,5.0,4.0,371.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,24.5,0.0,5071.0,1643.0,202.0,222.0,105.0,119.0,20.0,30.0,6.0,18.0,2.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,38.0,2.0,1.0,442.0,11.0,104.0,244.0,119.0,10.0,404.0,10.0,20.0,13.0,2.0,357.0,1507.0,886.0,38.0,7.0,5.0,5.0,7.0,352.0,341.0,15.0,5.0,7.0,3.0,0.0,4.0,13.0,50.0,14.0,27.0,13.0,10.0,6.0,1.0,0.0,5.0,3.0,5.0,0.0
Adam Lallana,30.0,1988.0,ENG,MF,Liverpool,3.0,1.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,14.0,0.0,512.0,108.0,32.0,38.0,9.0,15.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,13.0,3.0,2.0,68.0,0.0,3.0,33.0,36.0,12.0,67.0,4.0,5.0,4.0,0.0,55.0,174.0,54.0,3.0,1.0,1.0,4.0,1.0,62.0,52.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,3.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Ounas,21.0,1996.0,ALG,FW,Napoli,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,40.0,2.0,3.0,5.0,8.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,1.0,4.0,17.0,0.0,20.0,2.0,3.0,2.0,0.0,19.0,44.0,33.0,0.0,0.0,0.0,3.0,1.0,23.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,2.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Adama Traoré,23.0,1995.0,MLI,MF,Monaco,1.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,121.0,36.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,51.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Adrien Rabiot,23.0,1995.0,FRA,MF,Paris,5.0,3.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.7,0.0,3774.0,866.0,99.0,111.0,99.0,107.0,19.0,24.0,1.0,18.0,1.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,36.0,14.0,1.0,279.0,6.0,63.0,188.0,53.0,6.0,271.0,1.0,1.0,1.0,0.0,212.0,1105.0,635.0,19.0,11.0,0.0,5.0,3.0,219.0,209.0,8.0,7.0,5.0,4.0,0.0,3.0,1.0,63.0,17.0,26.0,31.0,6.0,7.0,0.0,0.0,7.0,4.0,0.0,0.0
Adrián López,30.0,1988.0,ESP,FW,Porto,4.0,1.0,121.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.1,0.0,575.0,221.0,17.0,22.0,21.0,23.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,7.0,2.0,2.0,57.0,2.0,6.0,30.0,27.0,8.0,56.0,3.0,4.0,3.0,0.0,41.0,210.0,112.0,7.0,1.0,2.0,1.0,4.0,61.0,44.0,13.0,1.0,1.0,1.0,0.0,1.0,3.0,14.0,2.0,3.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Ahmed Kutucu,18.0,2000.0,TUR,FW,Schalke,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,57.0,21.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,115.0,102.0,2.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Dzagoev,28.0,1990.0,RUS,MF,CSKA,3.0,2.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.5,0.0,1231.0,380.0,52.0,57.0,28.0,30.0,3.0,4.0,7.0,3.0,5.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,8.0,1.0,2.0,108.0,3.0,12.0,59.0,43.0,8.0,106.0,0.0,3.0,0.0,0.0,86.0,248.0,149.0,7.0,4.0,0.0,0.0,3.0,132.0,92.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,53.0,7.0,13.0,26.0,14.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
Alan Patrick,27.0,1991.0,BRA,MF,Shakhtar,5.0,2.0,206.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,22.0,1.0,1989.0,393.0,51.0,52.0,48.0,53.0,13.0,15.0,8.0,7.0,5.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,150.0,4.0,25.0,87.0,52.0,5.0,146.0,3.0,3.0,3.0,0.0,122.0,635.0,368.0,20.0,6.0,1.0,3.0,3.0,127.0,116.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,37.0,10.0,13.0,12.0,12.0,6.0,2.0,0.0,4.0,4.0,3.0,0.0
