Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Luis Abram,DF,Peru,24.0,1996.0,2.0,1.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.5,0.0,1782,464,21,21,43,43,17,23,0,5,0,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,8.0,52.0,47.0,4.0,3.0,98.0,0.0,0.0,0.0,0.0,74.0,349.0,182.0,6.0,0.0,0.0,1.0,0.0,84.0,83.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,15.0,4.0,9.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0
Marcos Acuña,DF,Argentina,29.0,1991.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,20.7,0.0,2946,1096,86,96,70,78,16,26,4,9,7,2,0.0,9.0,10.0,0.0,8.0,0.0,0.0,0.0,29.0,3.0,4.0,242.0,8.0,78.0,96.0,82.0,8.0,218.0,5.0,9.0,5.0,0.0,184.0,794.0,498.0,20.0,4.0,1.0,4.0,4.0,170.0,156.0,7.0,7.0,6.0,3.0,0.0,3.0,3.0,49.0,15.0,26.0,18.0,5.0,4.0,0.0,0.0,4.0,6.0,9.0,0.0
Sergio Agüero,FW,Argentina,32.0,1988.0,4.0,2.0,132.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,9.8,0.0,570,122,26,33,9,13,3,4,1,3,1,0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,6.0,2.0,2.0,77.0,1.0,7.0,37.0,40.0,10.0,74.0,5.0,7.0,5.0,0.0,51.0,310.0,181.0,11.0,3.0,2.0,6.0,2.0,89.0,56.0,11.0,2.0,1.0,2.0,1.0,0.0,1.0,29.0,7.0,4.0,9.0,16.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
Tomás Alarcón,MF,Chile,22.0,1999.0,4.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123,233,28,29,22,25,8,8,0,4,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,76.0,1.0,14.0,47.0,18.0,0.0,75.0,0.0,0.0,0.0,0.0,49.0,169.0,73.0,3.0,1.0,0.0,0.0,3.0,54.0,53.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,28.0,5.0,14.0,13.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0
Omar Alderete,DF,Paraguay,24.0,1996.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1209,547,17,17,27,35,11,15,0,6,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,82.0,11.0,41.0,45.0,4.0,0.0,75.0,1.0,1.0,1.0,0.0,49.0,305.0,227.0,9.0,0.0,0.0,0.0,1.0,49.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,9.0,0.0
Miguel Almirón,FW,Paraguay,26.0,1994.0,4.0,4.0,288.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,2.0,20.3,0.0,2676,487,70,74,59,68,18,21,5,14,5,0,0.0,5.0,11.0,1.0,10.0,0.0,0.0,0.0,17.0,0.0,2.0,217.0,0.0,15.0,99.0,134.0,18.0,207.0,10.0,17.0,12.0,0.0,189.0,1331.0,710.0,35.0,13.0,4.0,9.0,9.0,225.0,177.0,27.0,6.0,2.0,3.0,2.0,0.0,3.0,50.0,15.0,8.0,25.0,17.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0
Júnior Alonso,DF,Paraguay,27.0,1993.0,5.0,5.0,480.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,8.4,0.0,6400,2191,70,72,161,166,50,68,1,26,1,0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,14.0,2.0,367.0,47.0,191.0,181.0,13.0,6.0,356.0,2.0,2.0,2.0,0.0,239.0,1459.0,609.0,13.0,0.0,0.0,1.0,1.0,251.0,249.0,1.0,5.0,7.0,2.0,0.0,7.0,5.0,60.0,18.0,40.0,18.0,2.0,13.0,5.0,0.0,8.0,7.0,28.0,0.0
Gilbert Álvarez,FW,Bolivia,28.0,1992.0,3.0,3.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322,42,15,18,8,12,0,0,0,1,1,0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,45.0,1.0,4.0,22.0,23.0,5.0,37.0,0.0,1.0,1.0,1.0,30.0,168.0,48.0,3.0,2.0,2.0,4.0,4.0,69.0,29.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,62.0,3.0,3.0,29.0,30.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
Julián Álvarez,FW,Argentina,21.0,2000.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,377,41,13,15,11,12,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,39.0,0.0,2.0,19.0,20.0,4.0,39.0,1.0,1.0,1.0,0.0,28.0,107.0,61.0,3.0,1.0,2.0,0.0,1.0,32.0,30.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
José Andrés Martínez,FW,Venezuela,26.0,1994.0,4.0,3.0,288.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1169,298,40,47,20,29,8,13,3,5,1,1,0.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,31.0,4.0,4.0,139.0,4.0,27.0,84.0,38.0,3.0,139.0,6.0,13.0,7.0,2.0,111.0,562.0,318.0,13.0,3.0,1.0,7.0,7.0,120.0,87.0,9.0,6.0,5.0,3.0,1.0,6.0,5.0,85.0,26.0,38.0,32.0,15.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0
