Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Wan-Bissaka,21.0,1997.0,ENG,DF,Manchester,5.0,5.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519.0,1141.0,137.0,143.0,83.0,100.0,10.0,16.0,5.0,10.0,2.0,1.0,0.0,4.0,2.0,0.0,11.0,0.0,0.0,0.0,46.0,6.0,5.0,327.0,10.0,92.0,152.0,96.0,5.0,275.0,6.0,10.0,6.0,0.0,192.0,893.0,525.0,27.0,7.0,2.0,3.0,2.0,193.0,181.0,6.0,7.0,14.0,2.0,1.0,4.0,3.0,84.0,27.0,41.0,29.0,14.0,16.0,2.0,0.0,14.0,4.0,11.0,0.0
Abbas Huseynov,24.0,1995.0,AZE,DF,Qarabağ,3.0,2.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14.2,0.0,600.0,325.0,14.0,17.0,13.0,18.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,1.0,58.0,7.0,24.0,21.0,15.0,3.0,44.0,1.0,2.0,1.0,0.0,27.0,133.0,71.0,3.0,2.0,1.0,2.0,0.0,20.0,19.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,36.0,10.0,27.0,6.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0
Abdellah Zoubir,27.0,1991.0,FRA,MF,Qarabağ,6.0,6.0,540.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,7.0,14.5,0.0,3001.0,696.0,130.0,145.0,61.0,75.0,11.0,20.0,9.0,10.0,12.0,2.0,0.0,12.0,12.0,0.0,6.0,0.0,0.0,0.0,34.0,0.0,6.0,352.0,4.0,42.0,171.0,172.0,27.0,349.0,14.0,23.0,14.0,0.0,273.0,1532.0,774.0,48.0,16.0,9.0,18.0,22.0,376.0,286.0,56.0,6.0,3.0,4.0,4.0,3.0,7.0,104.0,23.0,24.0,57.0,23.0,7.0,0.0,0.0,7.0,2.0,1.0,0.0
Abdoulay Diaby,28.0,1991.0,MLI,MF,Beşiktaş,3.0,2.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.2,0.0,1322.0,362.0,46.0,52.0,29.0,35.0,6.0,12.0,3.0,11.0,3.0,1.0,0.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,18.0,2.0,3.0,130.0,0.0,2.0,68.0,72.0,11.0,127.0,4.0,7.0,5.0,1.0,107.0,672.0,497.0,24.0,8.0,4.0,8.0,7.0,128.0,103.0,22.0,2.0,0.0,3.0,1.0,1.0,1.0,30.0,15.0,2.0,18.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Abdurrahim Dursun,20.0,1998.0,TUR,DF,Trabzonspor,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287.0,784.0,72.0,78.0,52.0,58.0,11.0,18.0,3.0,6.0,3.0,3.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,36.0,2.0,3.0,189.0,7.0,70.0,95.0,31.0,1.0,165.0,2.0,2.0,2.0,0.0,101.0,441.0,179.0,10.0,1.0,1.0,5.0,3.0,117.0,104.0,2.0,3.0,3.0,5.0,0.0,2.0,5.0,37.0,10.0,19.0,14.0,4.0,5.0,0.0,0.0,5.0,4.0,6.0,0.0
Abdülkadir Parmak,24.0,1994.0,TUR,MF,Trabzonspor,5.0,4.0,373.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,22.4,2.0,3636.0,1009.0,90.0,98.0,71.0,80.0,29.0,46.0,3.0,11.0,3.0,1.0,0.0,3.0,25.0,0.0,5.0,0.0,0.0,0.0,26.0,2.0,2.0,283.0,7.0,63.0,182.0,66.0,6.0,260.0,10.0,11.0,10.0,0.0,219.0,1170.0,564.0,16.0,4.0,0.0,5.0,3.0,235.0,213.0,15.0,6.0,4.0,5.0,1.0,1.0,2.0,68.0,22.0,16.0,42.0,10.0,3.0,0.0,0.0,3.0,1.0,5.0,0.0
Abel Ruiz,19.0,2000.0,ESP,FW,Braga,2.0,1.0,96.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,23.0,0.0,305.0,37.0,20.0,20.0,5.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,42.0,1.0,3.0,20.0,23.0,3.0,42.0,3.0,3.0,3.0,0.0,33.0,163.0,107.0,7.0,2.0,1.0,4.0,1.0,50.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,2.0,7.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Abraham Frimpong,26.0,1993.0,GHA,DF,Ferencváros,5.0,3.0,277.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,6.7,0.0,3656.0,926.0,29.0,34.0,87.0,91.0,36.0,42.0,1.0,5.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,7.0,189.0,25.0,99.0,100.0,2.0,2.0,186.0,0.0,0.0,0.0,0.0,138.0,741.0,440.0,8.0,0.0,0.0,0.0,0.0,134.0,133.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,17.0,7.0,10.0,7.0,0.0,4.0,2.0,0.0,2.0,2.0,11.0,0.0
Abzal Beisebekov,26.0,1992.0,KAZ,MF,Astana,5.0,5.0,373.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,25.8,0.0,1606.0,614.0,57.0,65.0,37.0,50.0,6.0,13.0,3.0,8.0,1.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,28.0,2.0,4.0,184.0,5.0,38.0,95.0,62.0,7.0,176.0,4.0,14.0,5.0,2.0,131.0,571.0,262.0,15.0,4.0,1.0,8.0,5.0,160.0,127.0,25.0,4.0,3.0,3.0,1.0,2.0,6.0,82.0,15.0,38.0,27.0,17.0,9.0,1.0,0.0,8.0,3.0,0.0,0.0
Adama Traoré,23.0,1996.0,ESP,FW,Wolves,10.0,7.0,625.0,2.0,1.0,0.0,0.0,1.0,0.0,9.0,3.0,17.3,0.0,2774.0,707.0,87.0,107.0,66.0,85.0,11.0,29.0,5.0,11.0,9.0,6.0,0.0,14.0,20.0,1.0,32.0,1.0,0.0,0.0,42.0,9.0,10.0,350.0,6.0,40.0,162.0,195.0,17.0,337.0,42.0,62.0,44.0,0.0,313.0,2519.0,1672.0,82.0,23.0,8.0,23.0,24.0,383.0,270.0,58.0,4.0,2.0,4.0,3.0,4.0,2.0,90.0,27.0,15.0,51.0,24.0,9.0,1.0,0.0,8.0,0.0,3.0,0.0
Adel Bettaieb,22.0,1997.0,TUN,FW,F91,3.0,1.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.1,0.0,391.0,23.0,23.0,25.0,6.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,52.0,0.0,1.0,38.0,20.0,5.0,51.0,2.0,3.0,2.0,0.0,43.0,232.0,75.0,3.0,3.0,0.0,5.0,1.0,70.0,45.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,7.0,1.0,15.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Adel Taarabt,30.0,1989.0,MAR,MF,Benfica,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.6,0.0,2282.0,463.0,48.0,51.0,47.0,52.0,19.0,25.0,4.0,14.0,2.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,155.0,0.0,21.0,105.0,40.0,1.0,152.0,5.0,9.0,6.0,0.0,108.0,510.0,293.0,15.0,3.0,0.0,2.0,6.0,130.0,125.0,3.0,1.0,0.0,4.0,0.0,1.0,5.0,32.0,10.0,8.0,18.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Adem Ljajić,27.0,1991.0,SRB,MF,Beşiktaş,4.0,3.0,315.0,2.0,0.0,2.0,3.0,2.0,0.0,4.0,0.0,32.8,2.0,3341.0,779.0,81.0,94.0,78.0,85.0,22.0,32.0,10.0,20.0,6.0,1.0,0.0,3.0,7.0,0.0,7.0,2.0,0.0,0.0,24.0,0.0,6.0,254.0,1.0,22.0,124.0,121.0,17.0,226.0,7.0,12.0,8.0,0.0,180.0,723.0,308.0,24.0,5.0,2.0,4.0,6.0,249.0,193.0,33.0,1.0,0.0,1.0,0.0,0.0,3.0,45.0,12.0,7.0,18.0,20.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0
Adi Nalic,21.0,1997.0,BIH,MF,Malmö,2.0,2.0,145.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.8,0.0,269.0,52.0,13.0,16.0,8.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,3.0,57.0,1.0,3.0,34.0,22.0,6.0,56.0,2.0,5.0,2.0,1.0,42.0,145.0,90.0,4.0,1.0,1.0,4.0,3.0,73.0,48.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,13.0,5.0,30.0,25.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Admir Mehmedi,28.0,1991.0,SUI,FW,Wolfsburg,5.0,5.0,423.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,17.2,0.0,2601.0,815.0,85.0,93.0,55.0,77.0,13.0,25.0,7.0,15.0,8.0,2.0,0.0,4.0,8.0,2.0,9.0,0.0,0.0,0.0,28.0,6.0,2.0,261.0,5.0,29.0,137.0,104.0,16.0,247.0,0.0,2.0,0.0,0.0,169.0,852.0,486.0,29.0,2.0,3.0,6.0,6.0,253.0,191.0,47.0,11.0,5.0,7.0,4.0,4.0,6.0,113.0,39.0,17.0,63.0,33.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0
Adrian Stanilewicz,19.0,2000.0,POL,MF,Leverkusen,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Hunou,25.0,1994.0,FRA,FW,Rennes,4.0,2.0,181.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,14.5,0.0,676.0,111.0,31.0,35.0,13.0,15.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,8.0,71.0,0.0,8.0,38.0,30.0,6.0,66.0,1.0,1.0,1.0,0.0,49.0,283.0,157.0,5.0,5.0,1.0,5.0,2.0,95.0,56.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,6.0,4.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Afimico Pululu,20.0,1999.0,FRA,FW,Basel,7.0,3.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,15.1,0.0,396.0,121.0,25.0,31.0,9.0,18.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,14.0,1.0,4.0,0.0,0.0,0.0,23.0,4.0,4.0,119.0,5.0,19.0,60.0,55.0,12.0,119.0,12.0,23.0,14.0,2.0,101.0,618.0,460.0,21.0,6.0,4.0,7.0,10.0,96.0,76.0,26.0,7.0,2.0,6.0,0.0,1.0,3.0,68.0,25.0,20.0,28.0,20.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
