Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Mooy,27.0,1990.0,MF,Australia,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28.4,1.0,3062,775,75,85,68,74,20,40,11,10,2,0,0.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,32.0,1.0,1.0,229.0,7.0,50.0,126.0,70.0,0.0,206.0,1.0,1.0,1.0,0.0,136.0,796.0,322.0,12.0,4.0,0.0,1.0,2.0,159.0,149.0,1.0,3.0,3.0,0.0,2.0,1.0,5.0,49.0,15.0,22.0,23.0,4.0,6.0,1.0,0.0,5.0,3.0,7.0,0.0
Abdallah Said,32.0,1985.0,MF,Egypt,3.0,3.0,224.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,22.8,0.0,1935,582,58,69,43,53,9,19,5,13,6,0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,17.0,2.0,5.0,161.0,1.0,23.0,78.0,70.0,1.0,152.0,0.0,0.0,0.0,0.0,88.0,542.0,310.0,10.0,8.0,0.0,5.0,1.0,166.0,122.0,14.0,3.0,2.0,1.0,0.0,2.0,5.0,64.0,12.0,16.0,32.0,16.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0
Abdiel Arroyo,24.0,1993.0,FW,Panama,2.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,26,2,2,2,2,1,2,2,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,2.0,4.0,4.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Abdullah Otayf,25.0,1992.0,MF,Saudi,3.0,3.0,243.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,19.8,0.0,3791,1131,118,122,78,85,24,35,2,22,1,0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,280.0,8.0,78.0,169.0,56.0,2.0,277.0,3.0,4.0,4.0,0.0,219.0,1053.0,506.0,25.0,13.0,0.0,4.0,2.0,228.0,219.0,3.0,2.0,1.0,2.0,0.0,1.0,6.0,43.0,18.0,19.0,21.0,3.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0
Abel Aguilar,33.0,1985.0,MF,Colombia,1.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,50,6,8,3,4,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,13.0,0.0,0.0,10.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,30.0,14.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achraf Hakimi,19.0,1998.0,DF,Morocco,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.6,0.0,1562,649,53,57,32,41,8,18,5,7,3,1,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,2.0,1.0,149.0,14.0,46.0,64.0,48.0,2.0,128.0,5.0,7.0,5.0,1.0,101.0,431.0,280.0,13.0,5.0,2.0,3.0,4.0,104.0,88.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,47.0,12.0,28.0,14.0,5.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0
Adem Ljajić,26.0,1991.0,MF,Serbia,3.0,2.0,170.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.5,0.0,1049,208,29,32,22,27,6,15,3,3,4,0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,89.0,3.0,6.0,43.0,54.0,4.0,81.0,6.0,8.0,6.0,1.0,71.0,542.0,283.0,16.0,10.0,0.0,2.0,1.0,78.0,56.0,7.0,3.0,2.0,0.0,1.0,1.0,3.0,55.0,15.0,11.0,28.0,16.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Adnan Januzaj,23.0,1995.0,FW,Belgium,1.0,1.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,21.3,0.0,255,68,8,9,6,8,1,3,1,3,0,0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,34.0,0.0,4.0,16.0,15.0,4.0,33.0,2.0,6.0,3.0,0.0,33.0,243.0,139.0,9.0,0.0,2.0,2.0,1.0,43.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,4.0,5.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adolfo Machado,33.0,1985.0,DF,Panama,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,171,5,8,8,10,3,11,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,42.0,3.0,18.0,19.0,6.0,0.0,35.0,0.0,0.0,0.0,0.0,17.0,59.0,38.0,1.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,11.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Adrien Silva,29.0,1989.0,MF,Portugal,3.0,2.0,156.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,23.4,0.0,2812,585,57,62,60,64,24,24,3,20,2,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,176.0,0.0,20.0,114.0,55.0,1.0,174.0,0.0,1.0,1.0,0.0,131.0,552.0,233.0,13.0,7.0,0.0,0.0,3.0,144.0,138.0,4.0,4.0,1.0,2.0,1.0,3.0,5.0,46.0,20.0,12.0,27.0,7.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0
