Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Abdou Diallo,22.0,1996.0,SEN,DF,Dortmund,7.0,7.0,619.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,507.0,576.0,9018.0,3045.0,225.0,242.0,221.0,242.0,55.0,78.0,0.0,3.0,39.0,4.0,1.0,33.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,43.0,12.0,8.0,647.0,36.0,201.0,353.0,99.0,5.0,647.0,8.0,6.0,1.0,415.0,2035.0,1148.0,13.0,7.0,1.0,6.0,4.0,462.0,25.0,12.0,8.0,5.0,6.0,1.0,5.0,7.0,2.0,10.0,5.0,5.0,8.0,21.0,0.0
Achraf Hakimi,19.0,1998.0,MAR,DF,Dortmund,5.0,4.0,371.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,332.0,394.0,4678.0,1485.0,202.0,222.0,110.0,126.0,10.0,15.0,3.0,6.0,25.0,2.0,0.0,24.0,0.0,0.0,0.0,1.0,8.0,0.0,9.0,0.0,0.0,0.0,23.0,3.0,1.0,438.0,8.0,100.0,235.0,108.0,10.0,438.0,11.0,5.0,6.0,285.0,1340.0,739.0,19.0,10.0,5.0,5.0,6.0,344.0,40.0,9.0,7.0,5.0,4.0,0.0,5.0,14.0,9.0,7.0,1.0,6.0,4.0,3.0,0.0
Adam Lallana,30.0,1988.0,ENG,MF,Liverpool,3.0,1.0,105.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0,41.0,58.0,427.0,60.0,27.0,34.0,7.0,11.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,3.0,3.0,68.0,0.0,3.0,36.0,29.0,10.0,68.0,3.0,2.0,1.0,45.0,168.0,62.0,2.0,2.0,1.0,1.0,3.0,51.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Adam Ounas,21.0,1996.0,ALG,MF,Napoli,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,146.0,33.0,3.0,4.0,4.0,7.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,20.0,0.0,1.0,8.0,12.0,0.0,20.0,4.0,2.0,2.0,16.0,132.0,58.0,1.0,3.0,0.0,3.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Adama Traoré,23.0,1995.0,MLI,FW,Monaco,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,141.0,28.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,5.0,6.0,0.0,12.0,0.0,0.0,0.0,12.0,40.0,15.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Adrien Rabiot,23.0,1995.0,FRA,MF,Paris,5.0,3.0,284.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,218.0,245.0,3299.0,841.0,111.0,121.0,74.0,80.0,16.0,19.0,0.0,1.0,16.0,1.0,0.0,16.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,25.0,14.0,1.0,278.0,7.0,55.0,183.0,45.0,6.0,278.0,2.0,2.0,0.0,167.0,950.0,440.0,4.0,5.0,0.0,5.0,5.0,205.0,4.0,8.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,5.0,0.0,5.0,3.0,4.0,0.0
Adrián López,30.0,1988.0,ESP,FW,Porto,4.0,1.0,121.0,1.0,1.0,1.0,9.8,0.0,0.0,0.0,39.0,45.0,492.0,179.0,29.0,34.0,6.0,7.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,56.0,1.0,4.0,28.0,24.0,8.0,56.0,5.0,1.0,4.0,31.0,281.0,171.0,6.0,4.0,3.0,1.0,2.0,42.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
Ahmed Kutucu,18.0,2000.0,TUR,FW,Schalke,1.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,59.0,20.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,44.0,36.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Dzagoev,28.0,1990.0,RUS,MF,CSKA,3.0,2.0,171.0,0.0,5.0,1.0,20.5,0.0,0.0,0.0,84.0,95.0,1152.0,374.0,54.0,56.0,21.0,23.0,5.0,7.0,0.0,7.0,5.0,3.0,0.0,13.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,2.0,3.0,114.0,2.0,15.0,61.0,38.0,10.0,114.0,3.0,1.0,2.0,56.0,265.0,133.0,3.0,3.0,0.0,3.0,2.0,95.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0
Alan Patrick,27.0,1991.0,BRA,MF,Shakhtar,5.0,2.0,206.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,113.0,124.0,1784.0,372.0,59.0,61.0,42.0,48.0,9.0,10.0,1.0,8.0,7.0,5.0,0.0,19.0,1.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,142.0,1.0,14.0,77.0,52.0,4.0,142.0,3.0,2.0,1.0,107.0,532.0,292.0,7.0,7.0,1.0,4.0,3.0,116.0,4.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0
