Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Ramsey,28.0,1990.0,WAL,MF,Juventus,6.0,2.0,202.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,12.0,0.0,1393.0,258.0,55.0,59.0,32.0,33.0,4.0,5.0,3.0,9.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,133.0,4.0,12.0,67.0,62.0,8.0,132.0,1.0,2.0,1.0,0.0,94.0,355.0,162.0,8.0,3.0,0.0,5.0,4.0,138.0,113.0,17.0,2.0,1.0,0.0,1.0,0.0,3.0,49.0,15.0,8.0,22.0,19.0,4.0,1.0,0.0,3.0,0.0,3.0,0.0
Abdou Diallo,23.0,1996.0,SEN,DF,Paris,3.0,1.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,491.0,34.0,36.0,33.0,35.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,89.0,13.0,47.0,45.0,5.0,0.0,81.0,0.0,0.0,0.0,0.0,66.0,407.0,230.0,2.0,1.0,0.0,1.0,0.0,68.0,67.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,13.0,6.0,4.0,9.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Abdulla Yusuf Helal,26.0,1993.0,BHR,FW,Slavia,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,70.0,13.0,7.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,18.0,0.0,0.0,7.0,13.0,5.0,18.0,0.0,1.0,0.0,0.0,10.0,64.0,47.0,1.0,1.0,0.0,1.0,2.0,25.0,14.0,7.0,2.0,0.0,1.0,1.0,0.0,1.0,12.0,3.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achraf Hakimi,20.0,1998.0,MAR,DF,Dortmund,8.0,8.0,707.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,15.0,0.0,6551.0,2076.0,262.0,291.0,141.0,167.0,25.0,34.0,7.0,21.0,13.0,7.0,0.0,9.0,16.0,1.0,20.0,0.0,0.0,0.0,65.0,4.0,4.0,625.0,17.0,160.0,266.0,245.0,35.0,580.0,17.0,29.0,17.0,0.0,478.0,2475.0,1479.0,68.0,16.0,15.0,6.0,11.0,508.0,460.0,41.0,10.0,15.0,5.0,2.0,5.0,5.0,178.0,46.0,75.0,51.0,52.0,10.0,1.0,0.0,9.0,4.0,13.0,0.0
Adama Soumaoro,27.0,1992.0,FRA,DF,Lille,1.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,266.0,6.0,7.0,16.0,18.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,42.0,4.0,24.0,19.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,13.0,38.0,14.0,0.0,0.0,0.0,1.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0
Adel Taarabt,30.0,1989.0,MAR,MF,Benfica,4.0,4.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,23.9,0.0,3961.0,1073.0,101.0,112.0,68.0,85.0,37.0,39.0,4.0,30.0,2.0,0.0,0.0,3.0,11.0,0.0,2.0,0.0,0.0,0.0,48.0,3.0,2.0,288.0,8.0,51.0,192.0,78.0,6.0,283.0,13.0,19.0,14.0,2.0,237.0,1261.0,735.0,38.0,12.0,2.0,2.0,8.0,234.0,217.0,18.0,2.0,2.0,0.0,0.0,0.0,5.0,54.0,14.0,15.0,32.0,7.0,1.0,0.0,0.0,1.0,5.0,6.0,0.0
Adem Büyük,31.0,1987.0,TUR,FW,Galatasaray,2.0,1.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.2,0.0,213.0,18.0,10.0,13.0,3.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,11.0,42.0,1.0,3.0,27.0,16.0,4.0,41.0,1.0,1.0,1.0,0.0,28.0,70.0,26.0,2.0,1.0,0.0,1.0,4.0,56.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,3.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ademola Lookman,21.0,1997.0,ENG,FW,RB,1.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,40.0,15.0,15.0,5.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,31.0,0.0,1.0,12.0,20.0,3.0,30.0,0.0,4.0,0.0,0.0,17.0,106.0,65.0,5.0,2.0,0.0,1.0,0.0,42.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Rabiot,24.0,1995.0,FRA,MF,Juventus,5.0,4.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,16.9,0.0,2882.0,653.0,90.0,104.0,82.0,95.0,7.0,14.0,7.0,14.0,4.0,2.0,0.0,5.0,10.0,1.0,13.0,0.0,0.0,0.0,43.0,10.0,7.0,265.0,4.0,51.0,146.0,95.0,12.0,264.0,10.0,14.0,11.0,0.0,202.0,1245.0,612.0,35.0,13.0,3.0,4.0,4.0,219.0,195.0,29.0,8.0,4.0,5.0,1.0,4.0,8.0,108.0,38.0,24.0,56.0,28.0,5.0,2.0,0.0,3.0,2.0,4.0,1.0
Adrien Tameze,25.0,1994.0,CMR,MF,Atalanta,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alan Patrick,28.0,1991.0,BRA,MF,Shakhtar,6.0,6.0,494.0,1.0,2.0,0.0,0.0,2.0,0.0,7.0,3.0,20.9,0.0,4798.0,1043.0,111.0,125.0,105.0,113.0,36.0,49.0,8.0,24.0,4.0,0.0,0.0,6.0,10.0,0.0,2.0,0.0,0.0,0.0,38.0,1.0,4.0,354.0,10.0,77.0,228.0,80.0,4.0,340.0,7.0,10.0,8.0,0.0,280.0,1614.0,786.0,35.0,7.0,2.0,9.0,9.0,296.0,275.0,4.0,5.0,4.0,3.0,0.0,2.0,13.0,124.0,34.0,59.0,57.0,8.0,6.0,0.0,0.0,6.0,3.0,7.0,0.0
Albert Vallci,24.0,1995.0,AUT,DF,RB,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aleksa Vukanović,27.0,1992.0,SRB,FW,Red,4.0,2.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.5,0.0,279.0,113.0,13.0,15.0,3.0,5.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,9.0,1.0,4.0,66.0,6.0,17.0,36.0,15.0,5.0,66.0,2.0,4.0,2.0,0.0,32.0,196.0,115.0,4.0,0.0,1.0,8.0,4.0,65.0,33.0,11.0,1.0,2.0,3.0,1.0,3.0,6.0,56.0,8.0,18.0,35.0,3.0,9.0,2.0,0.0,7.0,2.0,4.0,0.0
Aleksandar Dragović,28.0,1991.0,AUT,DF,Leverkusen,3.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,244.0,9.0,11.0,21.0,21.0,16.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,58.0,4.0,28.0,31.0,4.0,2.0,58.0,0.0,0.0,0.0,0.0,38.0,231.0,109.0,2.0,1.0,0.0,0.0,0.0,40.0,40.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,13.0,3.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
Aleksandr Erokhin,29.0,1989.0,RUS,MF,Zenit,4.0,2.0,166.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,19.2,0.0,575.0,179.0,19.0,24.0,17.0,24.0,1.0,7.0,1.0,5.0,1.0,1.0,0.0,7.0,3.0,0.0,4.0,0.0,0.0,0.0,12.0,5.0,0.0,81.0,5.0,21.0,38.0,29.0,2.0,81.0,2.0,3.0,2.0,0.0,50.0,194.0,87.0,5.0,2.0,1.0,3.0,0.0,73.0,51.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,19.0,28.0,24.0,7.0,4.0,1.0,0.0,3.0,2.0,3.0,0.0
Aleksandr Kolomeytsev,30.0,1989.0,RUS,MF,Loko,3.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,43.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,4.0,5.0,0.0,9.0,1.0,1.0,1.0,0.0,8.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksei Miranchuk,23.0,1995.0,RUS,MF,Loko,4.0,4.0,360.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,12.5,0.0,1979.0,552.0,55.0,63.0,37.0,46.0,16.0,27.0,8.0,6.0,8.0,0.0,0.0,11.0,3.0,2.0,4.0,0.0,0.0,0.0,30.0,3.0,4.0,220.0,3.0,33.0,117.0,88.0,10.0,203.0,9.0,15.0,10.0,0.0,150.0,619.0,337.0,20.0,8.0,2.0,15.0,14.0,197.0,147.0,24.0,3.0,1.0,6.0,1.0,5.0,9.0,141.0,26.0,38.0,72.0,31.0,5.0,0.0,0.0,5.0,3.0,3.0,0.0
Aleksei Sutormin,25.0,1994.0,RUS,MF,Zenit,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,39.0,3.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,1.0,3.0,7.0,6.0,1.0,14.0,0.0,0.0,0.0,0.0,11.0,42.0,23.0,1.0,1.0,0.0,0.0,1.0,14.0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,7.0,10.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
