Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Appindangoyé,30.0,1992.0,GAB,DF,Sivasspor,6.0,5.0,486.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,103.0,158.0,2314.0,914.0,26.0,36.0,58.0,69.0,18.0,48.0,0.0,1.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,29.0,21.0,12.0,242.0,55.0,159.0,79.0,6.0,3.0,242.0,0.0,0.0,0.0,98.0,581.0,273.0,1.0,1.0,0.0,3.0,3.0,89.0,0.0,6.0,3.0,3.0,3.0,0.0,4.0,5.0,1.0,9.0,7.0,2.0,10.0,46.0,1.0
Aaron Cresswell,32.0,1989.0,ENG,DF,West,7.0,6.0,517.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,341.0,387.0,5748.0,2265.0,167.0,178.0,143.0,155.0,26.0,43.0,2.0,6.0,26.0,3.0,2.0,27.0,2.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,34.0,2.0,7.0,415.0,14.0,120.0,224.0,72.0,2.0,415.0,2.0,2.0,0.0,194.0,881.0,450.0,8.0,8.0,0.0,0.0,1.0,282.0,10.0,5.0,2.0,4.0,1.0,0.0,4.0,5.0,1.0,2.0,0.0,2.0,9.0,3.0,0.0
Aaron Greene,32.0,1990.0,IRL,FW,Shamrock,5.0,3.0,267.0,0.0,4.0,1.0,17.2,0.0,0.0,0.0,52.0,70.0,831.0,199.0,32.0,43.0,10.0,14.0,8.0,9.0,0.0,4.0,4.0,2.0,1.0,4.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,8.0,8.0,6.0,98.0,3.0,11.0,38.0,49.0,8.0,98.0,6.0,3.0,2.0,56.0,263.0,81.0,3.0,1.0,0.0,8.0,1.0,74.0,20.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
Aaron Ramsey,31.0,1990.0,WAL,MF,Nice,5.0,3.0,306.0,0.0,4.0,1.0,25.6,0.0,0.0,0.0,228.0,281.0,4134.0,887.0,91.0,107.0,101.0,115.0,29.0,45.0,1.0,5.0,26.0,5.0,0.0,32.0,1.0,0.0,0.0,5.0,3.0,0.0,10.0,0.0,0.0,0.0,36.0,2.0,1.0,301.0,4.0,47.0,176.0,79.0,5.0,301.0,4.0,3.0,0.0,252.0,1218.0,555.0,9.0,10.0,2.0,5.0,2.0,236.0,17.0,5.0,4.0,2.0,2.0,1.0,3.0,7.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0
Abdellah Zoubir,30.0,1991.0,FRA,FW,Qarabağ,2.0,2.0,193.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0,109.0,1116.0,328.0,58.0,70.0,24.0,29.0,2.0,3.0,0.0,4.0,6.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,16.0,1.0,3.0,132.0,0.0,8.0,47.0,80.0,14.0,132.0,15.0,11.0,4.0,76.0,668.0,358.0,17.0,7.0,8.0,2.0,4.0,100.0,22.0,4.0,4.0,0.0,4.0,0.0,2.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0
Abdoul-Fessal Tapsoba,20.0,2001.0,BFA,FW,Sheriff,4.0,4.0,348.0,1.0,8.0,4.0,13.0,0.0,0.0,0.0,53.0,82.0,834.0,150.0,27.0,39.0,18.0,29.0,5.0,7.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,11.0,3.0,4.0,4.0,0.0,0.0,0.0,11.0,9.0,9.0,132.0,0.0,7.0,59.0,72.0,16.0,132.0,13.0,6.0,6.0,79.0,486.0,191.0,7.0,5.0,2.0,17.0,1.0,84.0,24.0,3.0,2.0,1.0,2.0,0.0,2.0,5.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0
Abdülkadir Ömür,23.0,1999.0,TUR,FW,Trabzonspor,2.0,2.0,169.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,84.0,919.0,264.0,40.0,44.0,17.0,19.0,5.0,8.0,0.0,5.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,16.0,4.0,4.0,102.0,1.0,12.0,49.0,42.0,4.0,102.0,3.0,2.0,1.0,57.0,309.0,167.0,4.0,3.0,1.0,3.0,0.0,63.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0
Abel Ruiz,22.0,2000.0,ESP,FW,Braga,2.0,1.0,86.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,185.0,8.0,9.0,11.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,27.0,1.0,2.0,12.0,13.0,5.0,27.0,0.0,0.0,0.0,15.0,59.0,15.0,0.0,1.0,0.0,3.0,0.0,17.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
Adam Marušić,29.0,1992.0,MNE,DF,Lazio,3.0,2.0,211.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,119.0,140.0,1863.0,614.0,56.0,63.0,50.0,57.0,7.0,12.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,152.0,2.0,68.0,71.0,13.0,0.0,152.0,2.0,2.0,0.0,95.0,351.0,113.0,0.0,2.0,0.0,1.0,1.0,88.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0
Adam Sørensen,21.0,2000.0,DEN,DF,Bodø/Glimt,2.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,107.0,1356.0,244.0,39.0,49.0,41.0,48.0,3.0,6.0,0.0,0.0,2.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,13.0,0.0,1.0,126.0,2.0,24.0,62.0,42.0,4.0,126.0,8.0,6.0,2.0,76.0,384.0,194.0,6.0,6.0,1.0,2.0,1.0,80.0,13.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0
Adama Diakhaby,26.0,1996.0,FRA,FW,Qarabağ,2.0,0.0,83.0,0.0,1.0,1.0,16.7,0.0,0.0,0.0,13.0,19.0,222.0,73.0,6.0,8.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,38.0,1.0,8.0,17.0,15.0,2.0,38.0,5.0,1.0,4.0,22.0,169.0,126.0,2.0,1.0,0.0,5.0,1.0,21.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
Adnan Januzaj,27.0,1995.0,BEL,FW,Başakşehir,2.0,1.0,68.0,1.0,1.0,1.0,10.1,0.0,0.0,0.0,8.0,14.0,94.0,65.0,5.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,28.0,1.0,2.0,13.0,15.0,3.0,28.0,6.0,1.0,5.0,19.0,107.0,24.0,1.0,2.0,0.0,2.0,3.0,17.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
