Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Luis Abram,DF,Peru,24.0,1996.0,2.0,1.0,154.0,0.0,2.0,1.0,11.1,0.0,0.0,0.0,79.0,85.0,1517.0,515.0,23.0,23.0,51.0,53.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,97.0,5.0,42.0,52.0,3.0,3.0,97.0,0.0,0.0,0.0,70.0,274.0,143.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0
Marcos Acuña,DF,Argentina,29.0,1991.0,4.0,4.0,360.0,0.0,3.0,2.0,20.4,0.0,0.0,0.0,173.0,211.0,2941.0,964.0,91.0,101.0,67.0,81.0,14.0,24.0,0.0,4.0,8.0,6.0,1.0,15.0,1.0,0.0,0.0,9.0,9.0,0.0,7.0,0.0,0.0,0.0,25.0,2.0,3.0,237.0,4.0,71.0,99.0,70.0,7.0,237.0,11.0,5.0,6.0,163.0,684.0,477.0,7.0,5.0,1.0,6.0,1.0,157.0,25.0,7.0,4.0,4.0,3.0,0.0,4.0,8.0,4.0,3.0,0.0,3.0,6.0,2.0,0.0
Sergio Agüero,FW,Argentina,32.0,1988.0,4.0,2.0,132.0,0.0,4.0,1.0,10.3,0.0,0.0,0.0,38.0,52.0,539.0,94.0,23.0,30.0,13.0,17.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,73.0,0.0,6.0,34.0,35.0,8.0,73.0,7.0,3.0,4.0,50.0,270.0,145.0,4.0,5.0,1.0,5.0,2.0,53.0,9.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Tomás Alarcón,MF,Chile,22.0,1999.0,4.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,67.0,983.0,244.0,28.0,33.0,23.0,24.0,5.0,6.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,77.0,2.0,11.0,57.0,9.0,0.0,77.0,0.0,0.0,0.0,47.0,162.0,61.0,0.0,1.0,0.0,2.0,1.0,54.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0
Omar Alderete,DF,Paraguay,24.0,1996.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,65.0,1015.0,433.0,16.0,19.0,30.0,37.0,6.0,8.0,0.0,0.0,6.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,82.0,9.0,29.0,47.0,6.0,0.0,82.0,2.0,1.0,1.0,52.0,301.0,200.0,1.0,0.0,0.0,1.0,0.0,46.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,8.0,0.0
Miguel Almirón,FW,Paraguay,26.0,1994.0,4.0,4.0,288.0,1.0,6.0,2.0,20.7,0.0,1.0,1.0,143.0,162.0,2202.0,433.0,76.0,80.0,50.0,57.0,12.0,15.0,1.0,5.0,17.0,4.0,1.0,26.0,0.0,0.0,0.0,5.0,7.0,1.0,8.0,0.0,0.0,0.0,13.0,0.0,1.0,207.0,0.0,10.0,85.0,117.0,16.0,206.0,24.0,14.0,10.0,169.0,1324.0,586.0,22.0,17.0,5.0,7.0,5.0,169.0,30.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0
Júnior Alonso,DF,Paraguay,27.0,1993.0,5.0,5.0,480.0,1.0,3.0,2.0,9.3,0.0,0.0,0.0,286.0,324.0,5794.0,2308.0,84.0,87.0,165.0,175.0,33.0,53.0,0.0,1.0,21.0,2.0,0.0,22.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,11.0,1.0,376.0,31.0,168.0,199.0,11.0,7.0,376.0,4.0,3.0,1.0,254.0,1129.0,625.0,1.0,2.0,0.0,1.0,1.0,249.0,1.0,10.0,5.0,7.0,3.0,0.0,7.0,11.0,4.0,7.0,3.0,4.0,13.0,16.0,1.0
Gilbert Álvarez,FW,Bolivia,28.0,1992.0,3.0,3.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,292.0,37.0,14.0,18.0,7.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,38.0,2.0,4.0,19.0,17.0,1.0,38.0,0.0,0.0,0.0,22.0,136.0,45.0,1.0,1.0,1.0,4.0,3.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Julián Álvarez,MF,Argentina,21.0,2000.0,1.0,0.0,35.0,0.0,1.0,1.0,9.5,0.0,0.0,0.0,26.0,31.0,358.0,41.0,14.0,15.0,11.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,19.0,16.0,4.0,35.0,1.0,1.0,0.0,26.0,87.0,42.0,2.0,0.0,2.0,1.0,1.0,30.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
José Andrés Martínez,MF,Venezuela,26.0,1994.0,4.0,3.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,98.0,933.0,241.0,46.0,52.0,18.0,26.0,2.0,6.0,1.0,3.0,5.0,1.0,1.0,5.0,1.0,0.0,0.0,6.0,7.0,0.0,7.0,0.0,0.0,0.0,25.0,3.0,5.0,140.0,2.0,25.0,87.0,36.0,3.0,140.0,13.0,4.0,9.0,81.0,453.0,205.0,4.0,2.0,2.0,6.0,6.0,83.0,13.0,11.0,5.0,5.0,6.0,0.0,7.0,12.0,5.0,3.0,0.0,3.0,4.0,1.0,0.0
