Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Patrick van Aanholt,DF,Netherlands,30.0,1990.0,4.0,4.0,297.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,140.0,181.0,2206.0,711.0,73.0,92.0,54.0,64.0,9.0,15.0,0.0,3.0,7.0,2.0,0.0,15.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,23.0,2.0,1.0,204.0,7.0,48.0,78.0,80.0,9.0,204.0,2.0,1.0,1.0,102.0,466.0,210.0,8.0,7.0,1.0,3.0,2.0,129.0,32.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,0.0
Francesco Acerbi,DF,Italy,32.0,1988.0,3.0,1.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170.0,183.0,3009.0,911.0,79.0,80.0,69.0,73.0,19.0,25.0,1.0,3.0,16.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,201.0,20.0,80.0,112.0,9.0,3.0,201.0,0.0,0.0,0.0,101.0,600.0,419.0,4.0,1.0,0.0,0.0,0.0,145.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,6.0,7.0,0.0
Che Adams,FW,Scotland,24.0,1996.0,3.0,2.0,213.0,0.0,7.0,1.0,16.7,0.0,0.0,0.0,42.0,51.0,696.0,94.0,22.0,22.0,14.0,20.0,5.0,6.0,0.0,2.0,2.0,3.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,2.0,8.0,68.0,1.0,4.0,25.0,41.0,12.0,68.0,2.0,2.0,0.0,41.0,175.0,44.0,0.0,1.0,0.0,4.0,2.0,47.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
Arijan Ademi,MF,N.,29.0,1991.0,3.0,3.0,251.0,0.0,1.0,1.0,12.5,0.0,0.0,0.0,85.0,99.0,1328.0,418.0,51.0,58.0,30.0,33.0,4.0,5.0,0.0,1.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,126.0,8.0,46.0,67.0,14.0,3.0,126.0,4.0,2.0,2.0,55.0,366.0,202.0,5.0,2.0,2.0,5.0,3.0,81.0,1.0,8.0,4.0,4.0,3.0,1.0,7.0,11.0,4.0,2.0,1.0,1.0,7.0,0.0,0.0
Manuel Akanji,DF,Switzerland,25.0,1995.0,5.0,5.0,510.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,264.0,288.0,5061.0,2198.0,85.0,91.0,154.0,157.0,23.0,33.0,0.0,1.0,15.0,1.0,0.0,20.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,5.0,349.0,39.0,185.0,156.0,12.0,5.0,349.0,2.0,2.0,0.0,210.0,1497.0,994.0,3.0,5.0,0.0,1.0,1.0,230.0,1.0,10.0,6.0,8.0,2.0,0.0,7.0,11.0,4.0,10.0,5.0,5.0,8.0,22.0,0.0
Nathan Aké,DF,Netherlands,25.0,1995.0,2.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,34.0,547.0,78.0,14.0,17.0,13.0,13.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,39.0,2.0,7.0,24.0,8.0,0.0,39.0,0.0,0.0,0.0,25.0,158.0,93.0,1.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
David Alaba,DF,Austria,28.0,1992.0,4.0,4.0,390.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,282.0,348.0,5356.0,2203.0,112.0,129.0,134.0,149.0,32.0,55.0,2.0,10.0,20.0,3.0,3.0,26.0,1.0,0.0,0.0,3.0,2.0,0.0,28.0,0.0,1.0,0.0,33.0,2.0,2.0,372.0,20.0,126.0,165.0,83.0,3.0,372.0,0.0,0.0,0.0,221.0,1393.0,786.0,10.0,8.0,0.0,5.0,2.0,251.0,16.0,6.0,4.0,4.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,9.0,1.0
Jordi Alba,DF,Spain,31.0,1989.0,6.0,5.0,554.0,0.0,2.0,1.0,24.5,0.0,0.0,0.0,515.0,602.0,7248.0,2098.0,320.0,345.0,146.0,179.0,29.0,37.0,1.0,12.0,30.0,16.0,4.0,46.0,1.0,0.0,0.0,6.0,5.0,1.0,25.0,0.0,0.0,0.0,45.0,2.0,4.0,632.0,13.0,108.0,316.0,215.0,9.0,632.0,5.0,2.0,3.0,351.0,1349.0,707.0,12.0,17.0,4.0,1.0,2.0,453.0,64.0,10.0,6.0,3.0,7.0,0.0,7.0,7.0,0.0,10.0,0.0,10.0,4.0,9.0,1.0
Thiago Alcántara,MF,Spain,29.0,1991.0,4.0,0.0,68.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,72.0,90.0,1366.0,226.0,31.0,37.0,31.0,34.0,8.0,15.0,0.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,101.0,0.0,8.0,67.0,26.0,2.0,101.0,0.0,0.0,0.0,63.0,301.0,122.0,2.0,4.0,0.0,1.0,0.0,73.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0
Toby Alderweireld,DF,Belgium,31.0,1989.0,4.0,4.0,360.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,271.0,309.0,5090.0,1411.0,104.0,110.0,136.0,145.0,29.0,44.0,0.0,0.0,23.0,2.0,0.0,26.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,8.0,338.0,31.0,125.0,201.0,12.0,2.0,338.0,0.0,0.0,0.0,230.0,1009.0,592.0,6.0,1.0,1.0,1.0,0.0,268.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,7.0,5.0,2.0,2.0,10.0,0.0
