Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Wan-Bissaka,21.0,1997.0,ENG,DF,Manchester,5.0,5.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,279.0,3041.0,913.0,153.0,169.0,65.0,77.0,5.0,12.0,0.0,6.0,10.0,2.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,0.0,15.0,0.0,0.0,0.0,27.0,3.0,6.0,333.0,11.0,104.0,133.0,96.0,5.0,333.0,7.0,3.0,4.0,147.0,746.0,377.0,12.0,7.0,2.0,5.0,1.0,180.0,28.0,15.0,11.0,10.0,4.0,1.0,3.0,6.0,3.0,7.0,2.0,5.0,10.0,9.0,0.0
Abbas Huseynov,24.0,1995.0,AZE,DF,Qarabağ,3.0,2.0,166.0,0.0,2.0,1.0,13.1,0.0,0.0,0.0,29.0,38.0,477.0,239.0,11.0,13.0,13.0,18.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,1.0,61.0,8.0,25.0,19.0,17.0,3.0,61.0,2.0,1.0,1.0,21.0,115.0,48.0,1.0,2.0,0.0,3.0,0.0,18.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0
Abdellah Zoubir,27.0,1991.0,FRA,MF,Qarabağ,6.0,6.0,540.0,1.0,14.0,7.0,14.9,0.0,0.0,0.0,206.0,249.0,2661.0,565.0,142.0,159.0,44.0,55.0,8.0,15.0,1.0,8.0,10.0,8.0,1.0,23.0,0.0,0.0,0.0,13.0,11.0,0.0,5.0,0.0,0.0,0.0,28.0,2.0,4.0,331.0,5.0,37.0,136.0,159.0,22.0,331.0,21.0,10.0,11.0,252.0,1731.0,706.0,26.0,19.0,10.0,23.0,14.0,277.0,53.0,7.0,5.0,4.0,2.0,1.0,4.0,12.0,8.0,3.0,0.0,3.0,1.0,0.0,0.0
Abdoulay Diaby,28.0,1991.0,MLI,MF,Beşiktaş,3.0,2.0,178.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,79.0,98.0,1122.0,291.0,51.0,59.0,21.0,27.0,5.0,8.0,0.0,3.0,8.0,2.0,1.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,8.0,1.0,1.0,123.0,0.0,1.0,55.0,67.0,6.0,123.0,6.0,2.0,4.0,96.0,618.0,371.0,12.0,9.0,3.0,9.0,4.0,102.0,31.0,5.0,3.0,0.0,3.0,2.0,2.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Abdurrahim Dursun,20.0,1998.0,TUR,DF,Trabzonspor,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,160.0,2002.0,626.0,79.0,85.0,45.0,52.0,7.0,15.0,0.0,2.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,15.0,1.0,3.0,189.0,8.0,69.0,98.0,25.0,0.0,189.0,1.0,1.0,0.0,82.0,354.0,159.0,5.0,1.0,0.0,4.0,1.0,103.0,9.0,10.0,6.0,6.0,4.0,0.0,5.0,7.0,2.0,3.0,0.0,3.0,6.0,8.0,0.0
Abdülkadir Parmak,24.0,1994.0,TUR,MF,Trabzonspor,5.0,4.0,373.0,1.0,7.0,4.0,23.1,2.0,0.0,0.0,190.0,228.0,2958.0,863.0,98.0,107.0,66.0,76.0,15.0,30.0,0.0,3.0,10.0,2.0,0.0,14.0,2.0,0.0,0.0,4.0,23.0,0.0,18.0,0.0,0.0,0.0,19.0,0.0,3.0,270.0,7.0,49.0,161.0,61.0,4.0,270.0,9.0,8.0,1.0,170.0,991.0,417.0,6.0,5.0,0.0,8.0,5.0,213.0,11.0,8.0,4.0,3.0,5.0,0.0,2.0,6.0,4.0,3.0,0.0,3.0,1.0,5.0,0.0
Abel Ruiz,19.0,2000.0,ESP,FW,Braga,2.0,1.0,96.0,1.0,1.0,1.0,25.8,0.0,0.0,0.0,25.0,31.0,229.0,26.0,13.0,14.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,40.0,0.0,2.0,21.0,21.0,2.0,40.0,2.0,2.0,0.0,22.0,144.0,72.0,3.0,1.0,1.0,4.0,1.0,29.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
Abraham Frimpong,26.0,1993.0,GHA,DF,Ferencváros,5.0,3.0,277.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,153.0,173.0,3377.0,999.0,35.0,43.0,88.0,92.0,29.0,36.0,0.0,1.0,5.0,0.0,0.0,9.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,5.0,191.0,20.0,100.0,87.0,4.0,2.0,191.0,0.0,0.0,0.0,102.0,474.0,330.0,1.0,1.0,0.0,0.0,0.0,132.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,8.0,0.0
Abzal Beisebekov,26.0,1992.0,KAZ,MF,Astana,5.0,5.0,373.0,0.0,5.0,2.0,24.5,0.0,0.0,0.0,94.0,131.0,1366.0,481.0,54.0,66.0,30.0,41.0,5.0,8.0,0.0,3.0,14.0,1.0,0.0,15.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,4.0,175.0,6.0,31.0,95.0,50.0,5.0,175.0,9.0,2.0,7.0,96.0,511.0,189.0,3.0,3.0,0.0,11.0,3.0,123.0,27.0,5.0,4.0,1.0,4.0,0.0,2.0,6.0,4.0,1.0,0.0,1.0,4.0,2.0,0.0
Adama Traoré,23.0,1996.0,ESP,FW,Wolves,10.0,7.0,625.0,2.0,8.0,3.0,17.2,0.0,0.0,0.0,165.0,235.0,2352.0,582.0,99.0,119.0,51.0,68.0,8.0,27.0,1.0,5.0,13.0,10.0,6.0,23.0,1.0,0.0,0.0,12.0,15.0,1.0,43.0,1.0,0.0,0.0,25.0,16.0,7.0,339.0,5.0,30.0,146.0,182.0,11.0,339.0,65.0,47.0,18.0,246.0,2500.0,1474.0,57.0,30.0,7.0,31.0,19.0,265.0,67.0,8.0,7.0,2.0,5.0,1.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0
Adel Bettaieb,22.0,1997.0,TUN,FW,F91,3.0,1.0,127.0,0.0,1.0,1.0,10.4,0.0,0.0,0.0,31.0,40.0,396.0,28.0,21.0,24.0,8.0,10.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,5.0,6.0,55.0,0.0,1.0,29.0,25.0,5.0,55.0,0.0,0.0,0.0,31.0,184.0,30.0,2.0,1.0,0.0,4.0,4.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Adel Taarabt,30.0,1989.0,MAR,MF,Benfica,2.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,114.0,131.0,1854.0,459.0,56.0,61.0,43.0,50.0,8.0,11.0,0.0,4.0,15.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,155.0,0.0,19.0,105.0,34.0,1.0,155.0,12.0,6.0,6.0,124.0,637.0,298.0,6.0,3.0,0.0,3.0,2.0,122.0,6.0,5.0,3.0,2.0,3.0,0.0,2.0,8.0,6.0,2.0,0.0,2.0,3.0,0.0,0.0
Adem Ljajić,27.0,1991.0,SRB,MF,Beşiktaş,4.0,3.0,315.0,2.0,4.0,0.0,0.0,2.0,2.0,3.0,185.0,222.0,2944.0,726.0,99.0,118.0,69.0,74.0,12.0,20.0,0.0,11.0,20.0,6.0,0.0,22.0,2.0,0.0,0.0,2.0,7.0,0.0,16.0,2.0,0.0,0.0,12.0,0.0,4.0,247.0,0.0,19.0,123.0,105.0,14.0,244.0,10.0,5.0,5.0,128.0,601.0,269.0,7.0,5.0,2.0,5.0,5.0,185.0,29.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
Adi Nalic,21.0,1997.0,BIH,FW,Malmö,2.0,2.0,145.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,300.0,61.0,18.0,24.0,6.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,3.0,56.0,0.0,4.0,32.0,21.0,2.0,56.0,5.0,4.0,1.0,34.0,199.0,92.0,3.0,2.0,0.0,9.0,3.0,46.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Admir Mehmedi,28.0,1991.0,SUI,FW,Wolfsburg,5.0,5.0,423.0,1.0,8.0,3.0,19.4,0.0,0.0,0.0,153.0,209.0,2317.0,679.0,88.0,104.0,52.0,70.0,9.0,20.0,2.0,7.0,14.0,8.0,2.0,26.0,0.0,0.0,0.0,4.0,8.0,2.0,14.0,0.0,0.0,0.0,26.0,4.0,2.0,261.0,3.0,34.0,129.0,103.0,16.0,261.0,5.0,1.0,4.0,173.0,696.0,334.0,3.0,4.0,2.0,8.0,3.0,188.0,38.0,12.0,4.0,2.0,5.0,5.0,5.0,9.0,4.0,5.0,0.0,5.0,5.0,3.0,0.0
Adrian Stanilewicz,19.0,2000.0,POL,MF,Leverkusen,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
