Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Cresswell,31.0,1989.0,ENG,DF,West,9.0,9.0,696.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,20.7,0.0,8739.0,3645.0,246.0,265.0,186.0,219.0,54.0,107.0,15.0,29.0,11.0,1.0,0.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0,60.0,8.0,4.0,661.0,20.0,180.0,300.0,224.0,10.0,545.0,1.0,6.0,2.0,1.0,422.0,2025.0,1082.0,47.0,17.0,4.0,5.0,4.0,457.0,434.0,12.0,4.0,3.0,2.0,1.0,3.0,7.0,43.0,18.0,17.0,20.0,6.0,8.0,1.0,0.0,7.0,15.0,11.0,0.0
Aaron Ramsey,30.0,1990.0,WAL,FW,Rangers,3.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,11.2,0.0,725.0,141.0,19.0,20.0,12.0,17.0,6.0,8.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,62.0,0.0,3.0,26.0,37.0,12.0,59.0,1.0,2.0,1.0,0.0,51.0,193.0,62.0,4.0,3.0,1.0,4.0,1.0,63.0,50.0,15.0,2.0,1.0,2.0,0.0,1.0,1.0,20.0,10.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abel Ruiz,21.0,2000.0,ESP,FW,Braga,10.0,6.0,513.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,17.5,0.0,1587.0,220.0,67.0,78.0,36.0,40.0,4.0,10.0,7.0,5.0,3.0,1.0,0.0,3.0,5.0,1.0,5.0,0.0,0.0,0.0,19.0,10.0,29.0,201.0,7.0,18.0,96.0,101.0,24.0,193.0,4.0,7.0,5.0,1.0,120.0,572.0,193.0,14.0,2.0,3.0,17.0,11.0,269.0,144.0,49.0,4.0,2.0,3.0,3.0,1.0,0.0,147.0,36.0,6.0,65.0,76.0,3.0,0.0,0.0,3.0,4.0,6.0,0.0
Adam Hložek,19.0,2002.0,CZE,MF,Sparta,5.0,5.0,442.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,14.8,0.0,1169.0,336.0,34.0,53.0,29.0,37.0,5.0,13.0,5.0,8.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,21.0,6.0,16.0,171.0,0.0,20.0,88.0,81.0,17.0,169.0,12.0,20.0,14.0,0.0,139.0,746.0,423.0,18.0,8.0,5.0,14.0,11.0,206.0,132.0,34.0,3.0,1.0,2.0,0.0,1.0,2.0,71.0,13.0,7.0,33.0,31.0,5.0,1.0,0.0,4.0,3.0,0.0,0.0
Adam Karabec,18.0,2003.0,CZE,FW,Sparta,3.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,10.3,0.0,246.0,126.0,9.0,11.0,7.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,33.0,0.0,4.0,10.0,21.0,8.0,32.0,2.0,2.0,2.0,0.0,28.0,102.0,54.0,3.0,2.0,0.0,3.0,1.0,25.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Adam Marušić,28.0,1992.0,MNE,DF,Lazio,6.0,4.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.2,0.0,4355.0,1425.0,145.0,152.0,97.0,115.0,20.0,24.0,1.0,17.0,3.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,49.0,10.0,3.0,337.0,13.0,114.0,197.0,50.0,3.0,301.0,1.0,5.0,2.0,0.0,217.0,822.0,379.0,16.0,7.0,1.0,1.0,5.0,223.0,209.0,16.0,3.0,3.0,5.0,0.0,4.0,4.0,50.0,16.0,17.0,26.0,7.0,8.0,3.0,0.0,5.0,6.0,7.0,0.0
Adam Montgomery,19.0,2002.0,SCO,DF,Celtic,4.0,4.0,318.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,17.8,0.0,2317.0,551.0,76.0,93.0,60.0,68.0,8.0,10.0,3.0,12.0,2.0,0.0,0.0,5.0,11.0,1.0,3.0,1.0,0.0,0.0,30.0,2.0,3.0,216.0,10.0,39.0,108.0,85.0,9.0,205.0,2.0,8.0,2.0,0.0,152.0,723.0,398.0,15.0,6.0,1.0,7.0,0.0,172.0,150.0,16.0,6.0,4.0,4.0,1.0,5.0,3.0,59.0,20.0,15.0,28.0,16.0,6.0,3.0,0.0,3.0,2.0,3.0,0.0
Adam Ounas,24.0,1996.0,ALG,MF,Napoli,6.0,1.0,132.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,15.4,0.0,934.0,265.0,18.0,23.0,19.0,22.0,8.0,11.0,5.0,2.0,5.0,0.0,0.0,4.0,8.0,1.0,4.0,0.0,0.0,0.0,11.0,1.0,2.0,100.0,0.0,9.0,58.0,45.0,11.0,96.0,7.0,11.0,7.0,0.0,85.0,444.0,270.0,13.0,7.0,4.0,9.0,5.0,88.0,74.0,7.0,4.0,1.0,5.0,1.0,1.0,2.0,34.0,10.0,9.0,21.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Adama Traoré,25.0,1996.0,ESP,FW,Barcelona,6.0,5.0,353.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,14.9,0.0,1409.0,261.0,64.0,79.0,29.0,45.0,3.0,12.0,6.0,3.0,6.0,3.0,0.0,4.0,5.0,1.0,29.0,0.0,0.0,0.0,20.0,0.0,2.0,185.0,0.0,9.0,58.0,139.0,25.0,184.0,24.0,33.0,25.0,0.0,179.0,1365.0,907.0,56.0,6.0,18.0,8.0,10.0,182.0,152.0,24.0,1.0,0.0,1.0,1.0,2.0,1.0,40.0,19.0,7.0,14.0,19.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0
Adama Traoré,26.0,1995.0,MLI,FW,Sheriff,2.0,2.0,210.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,19.8,0.0,558.0,84.0,29.0,34.0,4.0,12.0,4.0,6.0,1.0,3.0,1.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,13.0,7.0,15.0,96.0,1.0,10.0,45.0,49.0,6.0,95.0,4.0,10.0,4.0,1.0,72.0,340.0,158.0,10.0,3.0,2.0,16.0,5.0,145.0,73.0,15.0,1.0,0.0,2.0,1.0,1.0,0.0,49.0,10.0,4.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
