Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Mooy,31.0,1990.0,AUS,MF,Celtic,5.0,1.0,153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,111.0,139.0,1630.0,457.0,72.0,78.0,28.0,39.0,7.0,13.0,0.0,2.0,13.0,3.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,2.0,1.0,151.0,4.0,16.0,67.0,68.0,6.0,151.0,0.0,0.0,0.0,117.0,498.0,179.0,1.0,5.0,0.0,3.0,2.0,119.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Abakar Sylla,19.0,2002.0,CIV,DF,Club,6.0,6.0,492.0,1.0,1.0,1.0,6.1,0.0,0.0,0.0,271.0,308.0,5119.0,1728.0,101.0,107.0,135.0,143.0,28.0,50.0,0.0,1.0,9.0,0.0,0.0,14.0,4.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,7.0,6.0,361.0,44.0,169.0,192.0,6.0,3.0,361.0,6.0,4.0,2.0,263.0,1644.0,881.0,1.0,1.0,0.0,6.0,3.0,256.0,0.0,6.0,2.0,5.0,1.0,0.0,3.0,3.0,0.0,7.0,5.0,2.0,7.0,17.0,1.0
Abdou Diallo,26.0,1996.0,SEN,DF,RB,5.0,2.0,227.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0,191.0,3347.0,1351.0,68.0,72.0,87.0,93.0,18.0,22.0,0.0,1.0,25.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.0,4.0,4.0,209.0,15.0,67.0,133.0,12.0,1.0,209.0,5.0,5.0,0.0,167.0,1047.0,652.0,3.0,2.0,0.0,1.0,1.0,160.0,1.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0
Abdoulaye Seck,30.0,1992.0,SEN,DF,Maccabi,6.0,4.0,397.0,2.0,4.0,2.0,9.7,0.0,0.0,0.0,158.0,188.0,2883.0,1048.0,60.0,68.0,86.0,93.0,8.0,19.0,0.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,15.0,3.0,238.0,46.0,127.0,104.0,9.0,4.0,238.0,3.0,3.0,0.0,147.0,769.0,339.0,1.0,1.0,0.0,1.0,2.0,131.0,0.0,7.0,7.0,6.0,0.0,1.0,5.0,7.0,2.0,9.0,5.0,4.0,4.0,18.0,0.0
Abdul Fatawu Issahaku,18.0,2004.0,GHA,MF,Sporting,2.0,0.0,89.0,0.0,2.0,1.0,21.2,0.0,0.0,0.0,20.0,27.0,338.0,56.0,11.0,14.0,8.0,11.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,3.0,38.0,4.0,17.0,17.0,6.0,2.0,38.0,4.0,1.0,3.0,16.0,120.0,63.0,1.0,0.0,1.0,0.0,2.0,17.0,2.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
Achraf Hakimi,23.0,1998.0,MAR,DF,Paris,8.0,7.0,580.0,0.0,4.0,2.0,15.6,0.0,0.0,0.0,332.0,378.0,4415.0,1137.0,204.0,223.0,97.0,107.0,9.0,13.0,2.0,3.0,14.0,7.0,1.0,19.0,1.0,0.0,0.0,3.0,1.0,1.0,11.0,0.0,0.0,0.0,31.0,4.0,3.0,435.0,18.0,127.0,164.0,147.0,14.0,435.0,15.0,5.0,9.0,355.0,1977.0,926.0,18.0,18.0,1.0,6.0,7.0,343.0,63.0,9.0,6.0,4.0,4.0,1.0,3.0,12.0,9.0,2.0,0.0,2.0,8.0,7.0,0.0
Adam Hložek,20.0,2002.0,CZE,MF,Leverkusen,6.0,3.0,275.0,0.0,5.0,5.0,19.3,1.0,0.0,0.0,65.0,88.0,917.0,220.0,40.0,54.0,20.0,23.0,3.0,6.0,1.0,6.0,6.0,2.0,0.0,13.0,0.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,8.0,10.0,8.0,120.0,8.0,18.0,47.0,56.0,7.0,120.0,6.0,1.0,3.0,54.0,306.0,145.0,5.0,6.0,0.0,4.0,4.0,87.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,7.0,0.0
Adam Kronus,20.0,2002.0,CZE,FW,Viktoria,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,35.0,18.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Vlkanova,27.0,1994.0,CZE,MF,Viktoria,6.0,6.0,458.0,1.0,10.0,3.0,19.8,0.0,0.0,0.0,99.0,135.0,1671.0,409.0,49.0,56.0,41.0,55.0,6.0,14.0,1.0,7.0,9.0,5.0,2.0,12.0,0.0,0.0,0.0,6.0,9.0,1.0,14.0,0.0,0.0,0.0,35.0,4.0,3.0,195.0,7.0,37.0,93.0,72.0,9.0,195.0,13.0,5.0,7.0,96.0,601.0,319.0,10.0,11.0,1.0,10.0,12.0,100.0,16.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,5.0,0.0
Adnan Januzaj,27.0,1995.0,BEL,FW,Sevilla,3.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,234.0,59.0,9.0,10.0,5.0,6.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,25.0,2.0,6.0,10.0,9.0,1.0,25.0,2.0,2.0,0.0,13.0,49.0,25.0,1.0,0.0,1.0,1.0,0.0,14.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
