Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Mooy,27.0,1990.0,MF,Australia,3.0,3.0,270.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,166.0,206.0,2716.0,693.0,88.0,94.0,55.0,65.0,16.0,33.0,0.0,9.0,10.0,2.0,0.0,15.0,0.0,0.0,0.0,4.0,1.0,0.0,21.0,0.0,0.0,0.0,17.0,1.0,1.0,231.0,7.0,41.0,136.0,57.0,0.0,231.0,4.0,4.0,0.0,118.0,408.0,190.0,0.0,2.0,0.0,1.0,1.0,146.0,1.0,6.0,1.0,3.0,1.0,2.0,3.0,5.0,2.0,5.0,0.0,5.0,3.0,9.0,0.0
Abdallah Said,32.0,1985.0,MF,Egypt,3.0,3.0,224.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,113.0,151.0,1813.0,540.0,59.0,70.0,41.0,57.0,11.0,18.0,1.0,4.0,15.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,15.0,3.0,10.0,167.0,3.0,23.0,79.0,70.0,1.0,167.0,1.0,1.0,0.0,74.0,469.0,271.0,7.0,6.0,0.0,1.0,1.0,123.0,9.0,4.0,3.0,3.0,0.0,1.0,1.0,7.0,6.0,1.0,0.0,1.0,4.0,1.0,0.0
Abdiel Arroyo,24.0,1993.0,MF,Panama,2.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,87.0,29.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,11.0,0.0,3.0,4.0,4.0,2.0,11.0,2.0,1.0,1.0,4.0,31.0,18.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdullah Otayf,25.0,1992.0,MF,Saudi,3.0,3.0,243.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,242.0,264.0,3632.0,1259.0,145.0,149.0,67.0,71.0,18.0,27.0,1.0,2.0,26.0,2.0,0.0,17.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,287.0,8.0,69.0,184.0,35.0,2.0,287.0,3.0,2.0,1.0,196.0,943.0,386.0,2.0,4.0,0.0,3.0,1.0,226.0,3.0,8.0,3.0,3.0,5.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0
Abel Aguilar,33.0,1985.0,MF,Colombia,1.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,111.0,50.0,6.0,9.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,13.0,0.0,0.0,11.0,2.0,0.0,13.0,0.0,0.0,0.0,3.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Achraf Hakimi,19.0,1998.0,DF,Morocco,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97.0,122.0,1268.0,490.0,53.0,58.0,29.0,37.0,4.0,13.0,0.0,4.0,7.0,1.0,0.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,5.0,1.0,150.0,12.0,46.0,63.0,44.0,2.0,150.0,4.0,4.0,0.0,63.0,328.0,195.0,6.0,5.0,2.0,5.0,6.0,87.0,11.0,9.0,7.0,5.0,3.0,1.0,3.0,7.0,4.0,1.0,0.0,1.0,1.0,9.0,1.0
Adem Ljajić,26.0,1991.0,FW,Serbia,3.0,2.0,170.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,81.0,1024.0,175.0,26.0,28.0,26.0,32.0,5.0,14.0,0.0,3.0,5.0,2.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,1.0,93.0,2.0,6.0,44.0,46.0,3.0,93.0,5.0,4.0,1.0,59.0,433.0,182.0,5.0,11.0,0.0,3.0,4.0,66.0,7.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adnan Januzaj,23.0,1995.0,MF,Belgium,1.0,1.0,85.0,1.0,4.0,1.0,21.1,0.0,0.0,0.0,15.0,19.0,242.0,45.0,10.0,11.0,4.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,32.0,0.0,3.0,17.0,13.0,4.0,32.0,4.0,3.0,1.0,26.0,239.0,134.0,5.0,1.0,3.0,2.0,2.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Adolfo Machado,33.0,1985.0,DF,Panama,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,37.0,421.0,210.0,10.0,12.0,9.0,14.0,3.0,7.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,45.0,3.0,18.0,23.0,5.0,0.0,45.0,0.0,0.0,0.0,12.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0
Adrien Silva,29.0,1989.0,MF,Portugal,3.0,2.0,156.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,153.0,168.0,2686.0,585.0,69.0,75.0,53.0,57.0,23.0,23.0,1.0,2.0,15.0,2.0,0.0,19.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,183.0,0.0,17.0,132.0,35.0,1.0,183.0,1.0,0.0,1.0,107.0,401.0,178.0,3.0,6.0,0.0,3.0,3.0,149.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0,3.0,0.0,3.0,1.0,0.0,0.0
