Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Brenden Aaronson,MF,United,21.0,2000.0,4.0,0.0,108.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,50.0,566.0,125.0,24.0,27.0,14.0,15.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,80.0,1.0,9.0,41.0,31.0,8.0,80.0,11.0,2.0,5.0,49.0,258.0,126.0,2.0,2.0,0.0,8.0,4.0,54.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0
Ali Abdi,DF,Tunisia,28.0,1993.0,3.0,2.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,116.0,1451.0,630.0,25.0,31.0,38.0,57.0,9.0,22.0,0.0,1.0,4.0,2.0,0.0,7.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,17.0,9.0,5.0,154.0,16.0,66.0,61.0,27.0,3.0,154.0,2.0,1.0,1.0,50.0,214.0,71.0,1.0,0.0,1.0,5.0,4.0,67.0,17.0,8.0,5.0,5.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,4.0,13.0,1.0
Salis Abdul Samed,MF,Ghana,22.0,2000.0,3.0,3.0,250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,129.0,145.0,2046.0,466.0,70.0,70.0,49.0,54.0,9.0,15.0,0.0,1.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,3.0,170.0,15.0,64.0,82.0,25.0,0.0,170.0,4.0,3.0,0.0,106.0,689.0,313.0,3.0,1.0,0.0,4.0,2.0,121.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,8.0,0.0
Saud Abdulhamid,DF,Saudi,22.0,1999.0,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,122.0,1395.0,541.0,40.0,46.0,38.0,54.0,6.0,11.0,0.0,2.0,9.0,4.0,1.0,15.0,1.0,0.0,0.0,7.0,5.0,0.0,9.0,0.0,1.0,0.0,14.0,4.0,6.0,154.0,11.0,37.0,61.0,57.0,5.0,154.0,4.0,2.0,1.0,71.0,416.0,266.0,6.0,5.0,1.0,4.0,1.0,75.0,17.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0,3.0,2.0,6.0,0.0
Nawaf Al Abed,MF,Saudi,32.0,1990.0,2.0,0.0,88.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,33.0,39.0,458.0,60.0,23.0,24.0,7.0,10.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,51.0,0.0,1.0,23.0,28.0,4.0,51.0,2.0,1.0,1.0,36.0,279.0,85.0,4.0,3.0,1.0,6.0,5.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pape Abou Cissé,DF,Senegal,26.0,1995.0,3.0,1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,666.0,282.0,8.0,9.0,14.0,16.0,6.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,49.0,10.0,35.0,12.0,2.0,2.0,49.0,1.0,1.0,0.0,32.0,146.0,71.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,0.0
Vincent Aboubakar,FW,Cameroon,30.0,1992.0,3.0,1.0,142.0,2.0,6.0,3.0,17.8,0.0,0.0,0.0,20.0,31.0,343.0,53.0,9.0,13.0,7.0,13.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,48.0,5.0,7.0,19.0,22.0,7.0,48.0,7.0,5.0,2.0,30.0,182.0,79.0,4.0,2.0,3.0,3.0,0.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Abdulrahman Al-Aboud,MF,Saudi,27.0,1995.0,2.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,79.0,19.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,23.0,0.0,3.0,5.0,15.0,2.0,23.0,3.0,0.0,2.0,14.0,46.0,13.0,0.0,0.0,0.0,2.0,0.0,13.0,4.0,3.0,3.0,2.0,1.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Zakaria Aboukhlal,FW,Morocco,22.0,2000.0,4.0,0.0,79.0,1.0,3.0,2.0,14.9,0.0,0.0,0.0,7.0,14.0,88.0,22.0,5.0,8.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,26.0,2.0,3.0,10.0,13.0,4.0,26.0,1.0,0.0,1.0,14.0,97.0,49.0,1.0,2.0,0.0,3.0,0.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0
Kellyn Acosta,MF,United,26.0,1995.0,2.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,165.0,29.0,3.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,16.0,0.0,3.0,8.0,5.0,0.0,16.0,0.0,0.0,0.0,9.0,41.0,31.0,1.0,2.0,0.0,0.0,0.0,10.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
